Book-Author,Book-Title,ISBN,Price,Publisher,Year-Of-Publication
Corine T. Metzer,Brand Name Calorie Counter,0440106761,9,Dell Publishing Company,1981
Corliss Lamont,"\Dear Corliss\"": Letters from Eminent Persons""",0879756276,10,Prometheus Books,1990
Cormac McCarthy,All The Pretty Horses,0694522805,9,Harperaudio,2000
Cormac McCarthy,All the Pretty Horses (Border Trilogy (Hardcover)),060620069X,9,Turtleback Books Distributed by Demco Media,1993
Cormac McCarthy,"All the Pretty Horses (Border Trilogy, Vol 1)",0394574745,8,Alfred A. Knopf,1992
Cormac McCarthy,"All the Pretty Horses (The Border Trilogy, Vol 1)",0679744398,11,Vintage,1993
Cormac McCarthy,All The Pretty Horses CD,0694523445,13,Harperaudio,2000
Cormac McCarthy,Blood Meridian : Or the Evening Redness in the West (Modern Library),0679641041,10,Modern Library,2001
Cormac McCarthy,"Blood Meridian, Or, the Evening Redness in the West",0679728759,11,Vintage Books USA,1992
Cormac McCarthy,"Blood Meridian, Or, the Evening Redness in the West",0880010924,12,Ecco Press,1986
Cornelia Nixon,Angels Go Naked: A Novel,1582430624,11,Counterpoint Press,2000
Cornelius Lehane,Beware the Solitary Drinker,1590580168,11,Poisoned Pen Press,2002
Cornelius Ryan,A Bridge Too Far,0671217925,12,Simon  Schuster,1974
Cornelius Ryan,A private battle,0445045647,10,Fawcett Popular Library,1980
Cornell Woolrich,Black Alibi,0345307070,9,Ballantine Books,1982
Cornett,Bibliotherapy: The Right Book at the Right Time (Fastback ; 151),0873671511,12,Phi Delta Kappa Intl Inc,1980
Corson Hirschfeld,"Aloha, Mr. Lucky",0312870027,12,St Martins Pr,2000
Corson Hirschfeld,"Aloha, Mr. Lucky",0312876017,11,Forge,2001
Corson Hirschfeld,"Aloha, Mr. Lucky",0765343428,12,Forge Books,2002
"Cortez, Cunningham, Sebesta, &amp; Tierney Allington",Along the Way (Collection Series Book 1 Literature),0673733513,10,Addison-Wesley Pub Co,1989
Cory Doctorow,A Place So Foreign and Eight More,1568582862,11,Four Walls Eight Windows,2003
Cotton Mather,Beyond the Great Divide: Denver to the Grand Canyon (Touring North America),0813518830,12,Rutgers University Press,1992
Cotton Smith,Behold a Red Horse,0843948949,9,Leisure Books,2001
Country Business Guides,Argentina Business: The Portable Encyclopedia for Doing Business With Argentina (World Trade Press Country Business Guides),1885073046,12,World Trade Press,1998
Courtenay Beinhorn,Beinhorn's Mesquite Cookery,0877190607,11,Texas Monthly Pr,1986
Courtney Cooke,BEST BABY SHOWER BOOK,0671622765,11,Meadowbrook,1986
Courtney Davies,A Treasury of Celtic Design,0094787301,11,Trafalgar Square Publishing,1999
Courtni Wright,A Sure Thing (Arabesque),1583140484,10,Bet Books,1999
Courtni Wright,Blush (Arabesque),1583140867,11,B  T Books,2001
Courtway Jones,A Prince in Camelot,0671734083,12,Pocket Books (Mm),1995
Covey MacGregor,Bethump'd with words...Book Edition,0966760409,13,M I R,1998
Cowles Creative Publishing,Bathroom Planner: A Step-By-Step Workbook for Bathroom Remodeling (Home Project Manager),0865736405,9,Cowles Creative Publishing,1998
Crabbe Evers,Bleeding Dodger Blue: A Duffy House Mystery,0553291777,13,Bantam Books,1991
Crafts Magazine,A Treasury of Christmas Ornaments,0962114847,11,Pjs Pubns,1991
Craig,Blessings:,0340248521,8,Hodder  Stoughton,1988
Craig A. Lewis,Blood Evidence,0425132129,11,Berkley Pub Group,1994
Craig Bartlett,Arnold for President (Hey Arnold),068983361X,10,Simon Spotlight,2000
Craig Blacklock,Border Country: Photographs from the Quentico-Superior Wilderness,189247204X,11,Blacklock Nature Photography,1999
Craig Carter,Baseball Guide: 1998 (Serial),0892045914,12,Sporting News Publishing Co.,1998
Craig Clunas,Art in China (Oxford History of Art Series),0192842072,8,Oxford University Press,1997
Craig Coussins,Bonsai for Beginners,080694031X,8,Sterling Publishing,2001
Craig Gardner,A Malady of Magicks,0441516629,11,Ace Books,2001
Craig Gardner,A Night in the Netherhells,0441023142,10,Ace Books,1987
Craig Gardner,Back to the Future III,0425122409,11,Berkley Publishing Group,1990
Craig Hansen Werner,"A Change Is Gonna Come: Music, Race & the Soul of America",0452280656,8,Plume Books,1999
Craig Hartglass,501 Survival Tips for Men: Making Your Way in a World Full of Women,080651504X,12,Carol Publishing Corporation,1994
Craig J. Saper,Artificial Mythologies: A Guide to Cultural Invention,0816628734,10,University of Minnesota Press,1997
Craig Jones,Blood Secrets,0345282388,12,Ballantine Books,1979
Craig Lovik,Andy and the Tire,0590413236,12,Scholastic,1988
Craig M Carver,A history of English in its own words,0062700138,9,Harpercollins,1991
Craig Mills,Bane of Lord Caladon,0345289722,13,Del Rey Books,1982
Craig Nakken,Addictive Personality Understanding Comp,0062554883,10,Harpercollins Publisher,1988
Craig Rice,8 Faces at 3,1558820078,10,International Polygonics,1989
Craig Shankle,A Coach's Manual for Beginners,1401083129,8,Xlibris Corporation,2003
Craig Shaw Gardner,A Disagreement With Death,0441149243,11,Ace Books,2003
Craig Shaw Gardner,A Multitude of Monsters,0441545238,11,ACE Charter,1989
Craig Shaw Gardner,An Excess of Enchantments,044122363X,8,Ace Books,2003
Craig Shaw Gardner,"Back to the Future, Part 2: A Novel",0425118754,12,Berkley Publishing Group,1989
Craig Shaw Gardner,Batman Returns,0749313455,9,Mandarin,1992
Craig Shaw Gardner,Batman Returns: The Novelization,0446363030,9,Warner Books,1992
Craig Shaw Gardner,Batman: The Novelization,0446354872,9,Warner Books,1989
Craig Storti,Art of Crossing Cultures,0933662858,8,Intercultural Pr,1990
Craig Thomas,A Hooded Crow,0061090395,13,Harper Mass Market Paperbacks (Mm),1993
Craig Thomas,A Wild Justice,0061091693,11,HarperTorch,1996
Craig Thomas,A Wild Justice: A Novel,0060179562,9,Harpercollins,1995
Craig Thompson,Blankets: An Illustrated Novel,1891830430,11,Top Shelf Productions,2003
Craig Unger,Blue Blood,0312917775,12,St. Martin's Press,1989
Craig Unger,Blue Blood,0688050816,9,Harpercollins,1988
Craig Zacker,10 Minute Guide to Html Style Sheets (Ten Minute Guide Series),078971034X,9,Macmillan Computer Pub,1997
Creating Keepsakes,2000 Scrapbook Hall of Fame,1929180071,9,Creating Keepsakes Books,2000
Creede Lambard,"Badlands Run (Car Wars Adventure Gamebook, No 4)",0880384441,10,TSR,1987
"Creflo A., Jr. Dollar",Answers Awaiting in the Presence of God,0892747943,12,Harrison House,1995
Creighton,Bluenose Ghosts,0070777098,13,Nimbus Publishing Ltd,1994
Crescent Dragonwagon,Annie Flies The Birthday Bike,0027331555,12,Atheneum,1993
CristÃ³bal Zaragoza,"Al fin, la libertad: Un parado en el \Top-less\""""",8401807239,11,Plaza  JanÃ©s,1986
Cristina Fernandez Cubas,Altillos de Brumal En El Hemisferio,8401570530,13,"Plaza  Janes Editores, S.A.",1998
Cristina Saralegui,Â¡Cristina! confidencias de una rubia,0446674389,10,Warner Books,1998
Cristophe Andre,"Autoestima, La",8472454614,13,Editorial Kairos,2000
Criswell Freeman,America Kneels to Pray,1404184422,10,Elm Hill Books,2003
Criswell Freeman,Book of Florida Wisdom,0964095599,10,Walnut Grove Press,1996
Criswell Freeman,Book of Football Wisdom: Common Sense and Uncommon Genius from 101 Gridiron Greats (Wisdom Series),1887655182,9,Walnut Grove Press,1996
Crocker,BC Low Fat/Low Cho,0130844845,12,John Wiley  Sons Inc,1991
Crocker,Betty Crocker's Best Recipes for Weekend Breakfasts (Betty Crocker's Red Spoon Collection),0130683396,8,Macmillan General Reference,1991
Crockett Johnson,A Picture for Harold's Room,0064440850,10,HarperTrophy,1985
Crockett Johnson,Barnaby,0486218651,9,Dover Pubns,1967
Crosby Bonsall,"And I Mean It, Stanley",006444046X,10,HarperTrophy,1984
Crossing,An Herbal Sampler: A Notebook for Women,0895941465,13,Ten Speed Pr,1984
Crystal Green,Beloved Bachelor Dad (Silhouette Special Edition),037324374X,9,Silhouette,2001
Crystal Wilkinson,"Blackberries, Blackberries",1902881346,9,Toby Press,2000
Cuca Canals,Berta La Larga,1862300216,11,Anchor Books,1998
Curt Batson,A Town Called Whippledale,0972326405,12,MacKenzie Curtis,2003
Curt Sanburn,A Pocket Guide to Oahu,1566471575,11,Booklines Hawaii Ltd,2000
Curt Selby,Blood Country,0879976225,10,New American Library,1981
Curtis F. Gerald,Applied Numerical Analysis (6th Edition),020187072X,11,Pearson Education,1998
Curtis Gathje,A Model Crime: A True Fiction,1556114281,9,Penguin USA,1995
Curtis P. Christopher,Birmingham,0385317379,10,Doubleday Books,1996
Curtis White,"Anarcho-Hindu: The Damned, Weird Book of Fate",1573660027,9,Black Ice Books,1995
Curtiss Ann Matlock,Annie In The Morning  (Wanted: Spouse) (Here Come the Grooms),0373301316,9,Harlequin,1996
Curtiss Ann Matlock,"Annie In The Morning (Silhouette Special Edition, No. 695)",037309695X,13,Silhouette,1991
Curtiss Ann Matlock,At The Corner Of Love And Heartache,155166917X,10,Mira,2002
Cyndi Haynes,"2,002 Ways To Cheer Yourself Up",0836268350,12,Andrews McMeel Publishing,1998
Cyndi Haynes,2002 Romantic Ideas: Special Moments You Can Share With the One You Love,1558508198,10,Adams Media Corporation,1998
Cyndi Haynes,"2002 Things to Do on a Date: From Fun, Sometimes Silly, Romantic, to the Unique (2002)",1580620795,8,Adams Media Corporation,1999
Cyndi Haynes,"2002 Ways To Say \I Love You\""""",1580620809,12,Adams Media Corporation,1999
Cyndy Szekeres,A Busy Day (Cyndy Szekeres' Tiny Paw Library),0307119882,12,Golden Books,1990
Cyndy Szekeres,A Small Child's Book of Cozy Poems,0590383647,10,Cartwheel Books,1999
Cynthia A. Branigan,Adopting the Racing Greyhound,0876051905,12,John Wiley  Sons,1992
Cynthia A. Branigan,Adopting the Racing Greyhound,087605193X,9,Howell Book House,1998
Cynthia Adair Coan,A Call to Honor,1571973168,9,Pentland Press (NC),2002
Cynthia Alvarez,Ace Ventura: Pet Detective (Pictureback),0679876049,9,Random House Children's Books,1995
Cynthia Barnett,Ben's Gift (Sundown Books),0883362104,12,Signal Hill Publications,1990
Cynthia Blair,A Summer in Paris,0449703932,9,Fawcett Books,1992
Cynthia Blair,All Our Secrets,0345318730,9,Ballantine Books,1985
Cynthia C. Lewis,"Best Hikes With Children in Vermont, New Hampshire, & Maine",0898862817,10,Mountaineers Books,1991
Cynthia Cotten,At the Edge of the Woods: A Counting Book,0805063544,11,Henry Holt and Co. (BYR),2002
Cynthia Enloe,"Bananas, Beaches and Bases: Making Feminist Sense of International Politics",0520069854,9,University of California Press,1990
Cynthia Freeman,A World Full of Strangers,055327743X,12,Bantam Books,1985
Cynthia Freeman,Always and Forever,0399135111,13,Putnam Pub Group,1990
Cynthia Freeman,Always and Forever,0515106070,10,Jove Books,1991
Cynthia Harrod-Eagles,"Blood Lines (British Police Procedural , No 5)",0380730529,10,Harper Mass Market Paperbacks (Mm),1997
Cynthia Harrod-Eagles,Blood Sinister (Inspector Bill Slider Mysteries),0312274858,10,Thomas Dunne Books,2001
Cynthia Heald,A Journal for the Journey: The Companion to a Woman's Journey to the Heart of God,0785271260,8,Nelsonword Publishing Group,1997
Cynthia Heald,A Woman's Journey to the Heart of God,0785272399,13,Thomas Nelson Inc,1997
Cynthia Heald,Becoming a Woman of Excellence,0891090665,10,NavPress,1986
Cynthia Heald,Becoming a Woman of Freedom,0891096752,9,NavPress,1992
Cynthia Heald,Becoming a Woman of Prayer: A Bible Study,0891099549,10,NavPress,1996
Cynthia Heald,Becoming a Woman of Purpose: A Bible Study,0891097902,10,NavPress,1994
Cynthia Heimel,A Girl's Guide to Chaos,0671657593,10,Fireside,1988
Cynthia Heimel,Advanced Sex Tips for Girls: This Time It's Personal,0684849224,9,Simon  Schuster,2002
Cynthia Holzapfel,Apple Cider Vinegar for Weight Loss and Good Health,1570671273,13,Book Publishing Company (TN),2002
Cynthia Lennon,A twist of Lennon,0352301961,9,Star Books,1978
Cynthia MacGregor,365 After-School Activities You Can Do With Your Child: You Can Do With Your Child,1580622127,11,Adams Media Corporation,1999
Cynthia Olsen,Australian Tea Tree Oil Guide,1890941018,12,Lotus Press (WI),1998
Cynthia Overbeck Bix,Arranging Flowers from Your Garden,0376031069,9,Sunset Books Inc,2002
Cynthia Pratt,A Yuletide Treasure (Zebra Regency Romance),0821774891,8,Zebra Books,2003
Cynthia Ramsay,America's Spectacular Northwest (Special Publications Series 16),0870443631,11,The Society,1982
Cynthia Robins,Barbie: 30 Years of America's Doll,0809244233,10,McGraw-Hill,1989
Cynthia Rutledge,A Love to Keep,0373872151,11,Steeple Hill,2003
Cynthia Rylant,A Couple of Kooks and Other Stories About Love,0440212103,13,Laurel-Leaf Books,1992
Cynthia Rylant,A Fine White Dust,0027772403,13,Atheneum/Richard Jackson Books,1986
Cynthia Rylant,Appalachia: The Voices of Sleeping Birds,0152016058,11,Harcourt Children's Books,1991
Cynthia Rylant,Bear Day,0152010904,11,Harcourt Children's Books,1998
Cynthia Sterling,A Willing Spirit (Haunting Hearts Series),051512530X,10,Jove Books,1999
Cynthia Thayer,A Certain Slant of Light,0312261322,12,St. Martin's Press,2000
Cynthia Thayer,A Certain Slant of Light,0312275641,8,St. Martin's Press,2001
Cynthia Voigt,A Solitary Blue,0449702685,10,Fawcett Books,1987
Cynthia Voigt,A Solitary Blue (Point),0590471570,12,Scholastic,1993
Cynthia Voigt,A Solitary Blue (Tillerman Series),0689864345,8,Simon Pulse,2003
Cynthia Voigt,Bad Girls (Bad Girls),0590601350,8,Scholastic,1997
Cynthia Voigt,Bad Girls In Love (Aladdin Fiction),0689866208,12,Aladdin,2004
Cynthia Voigt,"Bad, Badder, Baddest (Bad Girls)",0439080967,12,Scholastic,1999
Cynthia Voigt,"Bad, Badder, Baddest (Bad Girls)",0590601369,11,Scholastic,1997
Cynthia Wright,Battle for Love,0345332709,11,Ballantine Books,1986
Cyrano De,A Mother's Love Is Made Up of,0881441791,11,Christian Publishing Services,1996
Cyril A. Reilly,A Gift of Irish Wisdom,0688052924,11,Harpercollins,1995
Cyril Aldred,Akhenaten: King of Egypt,0500050481,13,W W Norton  Co Inc,1988
Cyril Hare,An English Murder,184232649X,12,House of Stratus,2001
Cyril Scott,Boy Who Saw True,085435493X,10,"C. W. Daniel Company, Ltd.",1961
Cyrus Cassells,Beautiful Signor,1556591241,13,Copper Canyon Press,1997
Cyrus Colter,Amoralists and Other Tales: Collected Stories (Contemporary Fiction Series),0938410652,12,Thunder's Mouth Press,1988
Czeslaw Milosz,A Book of Luminous Things: An International Anthology of Poetry,0156005743,9,Harvest Books,1998
Czeslaw Milosz,A Roadside Dog,0374251290,10,Farrar Straus Giroux,1998
Czeslaw Milosz,Bells in Winter,0880014563,13,Ecco Press,1996
D Smith,101 Dalmations,0330243756,11,Macmillan Education Australia Pty Ltd,1995
D. A. Carson,A Call to Spiritual Reformation: Priorities from Paul and His Prayers,0801025699,9,Baker Academic,1992
D. A. Crossman,A Show of Hands,089272398X,11,Down East Books,1998
D. A. Fowler,BOOK OF THE DAMNED,0671738046,13,Pocket,1993
D. A. Stern,Black Dawn,0380814862,11,HarperTorch,2001
D. Anderson,500 Best Irish Jokes and Limericks,0517127318,12,Gramercy Books,1987
D. Barnett,An Alien by Circumstance,185863962X,13,Minerva Press,1996
D. Caroline Coile,Barron's Encyclopedia of Dog Breeds,0764150979,9,Barron's Educational Series,1998
D. Franck,Boro s'en va-t-en guerre,2213607451,11,Fayard,2000
D. G. Bellenger,68 Ad,1592864589,11,Publishamerica,2003
D. Graham Burnett,A Trial by Jury,0375413030,10,Alfred A. Knopf,2001
D. Graham Burnett,A Trial by Jury,0375727515,9,Vintage Books USA,2002
D. H Lawrence,Aaron's rod (A Viking compass book),067000085X,13,Viking Press,1972
D. H. Lawrence,Apocalypse and the Writings on Revelation (Penguin Twentieth-Century Classics),0140187812,9,Penguin Books,1996
D. H. Love,365 Ways to Love Your Cat,0517182750,12,Random House Value Pub,2000
D. H. Melhem,Blight,0714542741,11,Syracuse University Press,2003
D. J. Conway,A Little Book of Candle Magic,1580910432,8,Crossing Press,2000
D. J. Conway,A Little Book of Pendulum Magic,1580910939,9,Crossing Press,2001
D. J. Conway,Advanced Celtic Shamanism,1580910734,13,Crossing Press,2000
D. J. Machale,Black Water (Pendragon Series 5),0689869118,9,Aladdin,2004
D. Jones,Arrest Sitting Bull,0684151839,13,First Glance Books,1977
D. M. Thomas,Alexander Solzhenitsyn: A Century in His Life,0312198264,11,Picador USA,1999
D. M. Thomas,Ararat,0670130095,9,Penguin USA,1983
D. Nobbs,Bit Of A Do,0413154807,11,Methuen Publishing Ltd,1987
D. R. McConnell,A Different Gospel: Biblical and Historical Insights into the Word of Faith Movement,1565631323,11,Hendrickson Publishers,1995
D. R. Ransdell,Amirosian Nights,0887393764,13,Creative Arts Book Company,2002
D. R. Schanker,A Criminal Appeal,0440235812,11,Dell Publishing Company,2000
D. Sigaud,Blue Moon,2070412784,12,Gallimard,2000
D. Stronck,Addison Wesley Science Series Book 3,0201118637,12,Addison-Wesley Pub Co,1986
D. T. Suzuki,An Introduction to Zen Buddhism,0802130550,10,Grove/Atlantic,1991
D. W. Buffa,Breach of Trust: A Joseph Antonelli Novel,0399151907,12,Putnam Publishing Group,2004
D. Whitelock,Beginnings of English Society (Penguin History of England),0140137645,11,Penguin USA,1952
D. Wright,Book of Vampires,0883560070,12,Galahad Books,2000
D. X. Fenten,Behind the Television Scene (Behind the Scenes),0896860620,12,Silver Burdett Pr,1980
D.A. Stern,Blair Witch: Book Of Shadows (Blair Witch Project),0743411897,12,Pocket,2000
D.A. Stern,Blair Witch: The Secret Confession of Rustin Parr,0743411536,13,Pocket,2000
D.B. Drumm,"Border War (Traveler, No 6)",0440107628,10,Dell Publishing Company,1985
D.C. Denison,"As Seen on Tv/an Inside Look at the Television Industry, How It Works and Who Does What from Eng to Mtv",0671726196,9,Simon  Schuster,1992
D.C. Poyer,Bahamas Blue,0312048580,9,St Martins Pr,1991
D.H. Lawrence,Aaron's Rod,0140007555,12,Penguin Books Ltd,1968
D.H. Lawrence,Apocalypse,0140038566,10,Penguin Books Ltd,1974
D.H. Truscott,"Bid Better, Play Better",0060913517,8,Harpercollins,1986
D.J. Arneson,Bats: A Nature Fact Book,1561561479,12,Kidsbooks.Com,1992
D.J. Conway,Animal Magick: The Art of Recognizing & Working With Familiars,1567181686,8,Llewellyn Publications,1995
D.J. Donaldson,Blood on the Bayou (An Andy Broussard/Kit Franklin Mystery),0373280130,8,Worldwide,1991
D.R. Meredith,A Time Too Late,0061005665,12,Harper Mass Market Paperbacks (Mm),1993
Dada Maheshvarananda,After Capitalism: Prout's Vision for a New World,1877762067,9,Proutist Universal Publications,2003
Dafydd ab Hugh,"Balance of Power (Star Trek The Next Generation, No 33)",0671520032,11,Star Trek,1995
Dahlov Zorach Ipcar,A dark horn blowing,0670256595,11,Viking Press,1978
Dai Sijie,Balzac and the Little Chinese Seamstress : A Novel,0385722206,12,Anchor,2002
Dai Sijie,Balzac and the Little Chinese Seamstress : A Novel,0385722206  0,8,Anchor,2002
Dai Sijie,Balzac and the Little Chinese Seamtress,0739301012,10,Random House Audio Publishing Group,2002
Dai Sijie,Balzac et la petite tailleuse chinoise,2070757625,13,Gallimard,2002
Dai Sijie,Balzac und die kleine chinesische Schneiderin.,3492238696,12,Piper,2003
Dai Sijie,Balzac und die kleine chinesische Schneiderin. Sonderausgabe.,3492044514,10,Piper,2002
Dai Sijie,Balzac Y LA Joven Costurera China (Narrativa),8478886508,13,Salamandra,2001
Dai Suie,Balzac Y LA Joven Costurera China,8478887350,8,Planeta Pub Corp,2002
Daisaku Ikeda,A Lasting Peace (Lasting Peace),0834802201,11,Weatherhill Inc.,1987
Daisaku Ikeda,A Lasting Peace: Collected Addresses of Daisaku Ikeda (Lasting Peace),0834801663,12,Weatherhill Inc.,1981
Daisaku Ikeda,Advice to young people,0915678071,8,World Tribune Press,1976
Daisy Goodwin,101 Poems That Could Save Your Life : An Anthology of Emotional First Aid,006052913X,9,Harpercollins,2002
Daisy Goodwin,101 Poems to Get You Through the Day (and Night),0060529121,10,Harpercollins,2003
Daj Sijie,Balzac Et LA Petite Tailleuse Chino,2070416801,12,Gallimard Jeunesse,2002
Dalai Lama,A Arte da Felicidade: Um Manual para a Vida,853361201X,8,Martins Fontes,2001
Dalai Lama,Advice on Dying: And Living a Better Life,0743463021,10,Atria Books,2002
Dale Brown,Air Battle Force,0060094109,10,Avon Books,2004
Dale Brown,"Air Battle Force (Brown, Dale)",0060094095,11,William Morrow,2003
Dale Brown,"Aztecs: Reign of Blood and Splendor (Lost Civilizations, No. 2)",0809498545,12,Time-Life Books,1992
Dale Brown,Battle Born,055311123X,12,Bantam Books,1999
Dale Brown,Battle Born,0553580035,12,Bantam Books,2001
Dale Bumpers,Best Lawyer in A 1 Lawyer Town: A Memoir,0375505210,11,Random House,2003
Dale C. Spartas,101 Uses for a Lab,1572231319,8,Willow Creek Press,1998
Dale Cooper,AUTOBIOGRAPHY OF FBI SPECIAL AGENT DALE COOPER,0671744003,12,Pocket,1991
"Dale D. Johnson, Theodore Clymer, Roselmina Indrisano, Richard L. Venezky, James F. Baumann, Elfrieda Hiebert, and Marian Toth P. David Pearson","A New Day (World of Reading Workbook, A New Day)",0663461715,11,"Silver, Burdett  Ginn, Inc.",1989
Dale Evans Rogers,Angel Unaware,0800754344,8,Revell,1992
Dale Hudson,"An Hour To Kill : A True Story of Love, Murder, and Justice in a Small Southern Town (St. Martin's True Crime Library)",0312978359,10,St. Martin's True Crime,2001
Dale Hudson,"An Hour to Kill: A True Story of Love, Murder, and Justice in a Small Southern Town",0965384632,11,McGregor Publishing,1999
Dale Larsen,7 Myths About Christianity,0830819096,13,InterVarsity Press,1998
Dale Ludwig,Blood Secrets,1558176950,13,Pinnacle Books (Mm),1993
Dale Lund,All About Tarantulas,0876669097,10,TFH Publications,1977
Dale Maharidge,And Their Children After Them,0679728783,9,Random House Inc,1990
Dale W. Olson,Advanced Pendulum Instruction and Applications (Knowing Your Intuitive Mind),1879246015,12,Crystalline Publications,1991
Dalia Vargas,Blue Moon (Encanto (English)),0786012099,12,Kensington Publishing Corporation,2001
Dallas Morning News,1996-97 Texas Almanac and State Industrial Guide (Paper),0914511211,11,Andrews McMeel Pub,1995
Dallas Murphy,APPARENT WIND,0671685538,10,Atria,1991
Dallas Schulze,"Addie And The Renegade (A Family Circle) (Silhouette Intimate Moments, No727)",0373077270,9,Silhouette,1996
Dallas Schulze,"Angel And The Badman (Harlequin American Romance, No 458)",0373164580,9,Harlequin,1992
Dallas Schulze,Angel In Your Eyes (By Request 3'S) (By Request 3's),0373201753,8,Harlequin,2000
Dallas Schulze,"Another Man'S Wife (Heartbreakers, A Family Circle) (Silhouette Intimate Moments, No 643)",0373076436,12,Silhouette,1995
Dallas Schulze,Baby Bargain,0373821522,9,Silhouette,1999
Dallas Schulze,"Baby Bargain (Intimate Moments, No 377)",0373073771,10,Silhouette,1991
Dallas Schulze,"Baby on the Way: The Vow / Wild Texas Rose / The Daddy Candidate (By Request, 3 Novels in One)",0373201044,12,Harlequin,1994
Damian McNicholl,A Son Called Gabriel,1593150180,12,CDs Books,2004
Damien W. Green,Bloomed and Final Harvest,059565973X,9,iUniverse,2003
Damion Hunter,Barbarian Princess (Centurions Series Book II),0345298268,11,Ballantine Books,1982
Damon Francis Knight,A for anything,0380485532,12,Avon,1980
Damon Knight,BEST DAMON KNIGHT,0671833758,13,Pocket,1980
Damon Wayans,Bootleg,0060193662,12,HarperCollins Publishers,1999
Damon Wayans,Bootleg,006093185X,12,Perennial Currents,2000
Damon Wilson,Aliens (Strange But True Series),0806905719,12,Sterling Pub Co Inc,1997
Dan  Verton,Black Ice: The Invisible Threat of Cyber-Terrorism,0072227877,13,McGraw-Hill Osborne Media,2003
Dan B Allender,Bold love,0891096795,12,NavPress,1992
Dan Barton,Banshee,0373970757,10,Worldwide Library,1988
Dan Betzer,Beast: A Novel of the Future World Dictator,0933451016,13,Alpha Pub Inc,1985
Dan Brown,Angels & Demons,0671027352,13,Atria,2000
Dan Brown,Angels & Demons,0671027360,9,Pocket Star,2001
Dan Brown,Angels & Demons,0743486226,8,Atria,2003
Dan Brown,Angels & Demons,0743535766,11,Simon  Schuster Audio,2003
Dan Brown,Angels & Demons,0743535774,12,Audioworks,2003
Dan Brown,Angels & Demons : A Novel,074349346X,8,Washington Square Press,2008
Dan Brown,Angels and Demons,0552150738,11,Corgi Adult,2003
Dan Chaon,Among the Missing (Ballantine Reader's Circle),0345441613,8,Ballantine Books,2002
Dan Crawford,A Wild Dog and Lone,0441001831,10,Ace Books,1995
Dan Crowley,505 Unbelievably Stupid Web Pages,1402201427,11,Sourcebooks,2003
Dan Dagget,Beyond the Rangeland Conflict: Towards a West That Works,0879056541,10,Gibbs Smith,1995
Dan Diamond,"And The Bride Vanishes (Harlequin Intrigue, No 435)",0373224354,12,Harlequin,1997
Dan Diamond,"Assignment: Groom  (The Wedding Party) (Harlequin American Romance, 791)",0373167911,8,Harlequin,1999
Dan Duffee,A Look Around Dinosaurs,0874062594,11,Pages Publishing Group,1988
Dan Dye,Amazing Gracie,076111937X,11,Workman Publishing,2000
Dan Dye,Amazing Gracie: A Dog's Tale,0761129758,13,Workman Publishing,2003
Dan Elish,Born Too Short : The Confessions of an Eighth-Grade Basket Case,068986213X,9,Simon Pulse,2003
Dan Elliott,A Visit to the Sesame Street Firehouse: Featuring Jim Henson's Sesame Street Muppets (Random House Pictureback),0394860292,8,Random House Trade,1983
Dan Epstein,20th Century Pop Culture,1841003042,10,Carlton Books,2002
Dan G. Stone,April Fools: An Insider's Account of the Rise and Collapse of Drexel Burnham,1556112289,12,Penguin USA,1990
Dan Gunn,Body Language,1840185724,12,Mainstream Publishing,2002
Dan Jenkins,BAJA OKLAHOMA,0671451634,10,Pocket,1982
Dan Jenkins,BAJA OKLAHOMA : BAJA OKLAHOMA,0671639277,9,Pocket,1986
Dan Jenkins,Best American Sports Writing 1995 (Best American Sports Writing (Paper)),0395700698,10,Houghton Mifflin Company,1995
Dan Jenkins,"Best American Sports Writing 1995 (Best American Sports Writing, 1995)",0395700701,9,Houghton Mifflin,1995
Dan Kavanagh,Abblocken.,3499221306,8,Rowohlt Tb.,2001
Dan Kurzman,A Killing Wind: Inside Union Carbide and the Bhopal Catastrophe,0070356874,11,McGraw-Hill,1987
Dan Kurzman,"Ben-Gurion, prophet of fire",0671230948,13,Simon and Schuster,1983
Dan Levine,Avant-Guide New York City 2 Ed: Insiders' Guide for Cosmopolitan Travelers,1891603124,13,Empire Press,2001
Dan Levine,Avant-Guide Prague 2 Ed: Insiders' Guide for Cosmopolitan Travelers,1891603132,9,Empire Press,2001
Dan Mahnke,"Antique Roads of America, Bicycle Guide for Route 66",0963385305,9,Daniel Mahnke,1992
Dan Mahoney,Black and White,0312971494,8,St. Martin's Press,2000
Dan McCall,Beecher: A novel,0525062157,10,Dutton,1979
Dan Millman,Body Mind Mastery: Creating Success in Sport and Life,1577310942,12,New World Library,1999
Dan Nevins,50 Amazing U.S. Mazes: Journey Through the USA,0816727953,11,Troll Communications,1992
Dan Nevins,"Amazing Science, Facts, Feats, and Puzzles",0816736200,13,Watermill Press,2002
Dan Nevins,Brainbenders,0816731403,12,Bridgewater Books,1994
Dan Nevins,Brainpuzzlers,0816731934,13,Troll Communications,1994
Dan Penwell,101 Things to Do in the Year 2000,1562928023,12,Cook Communications Ministries intl,1999
Dan Piraro,Bizarro,0877014027,10,Chronicle Books Llc,1986
Dan Rhodes,Anthropology,0375504214,12,Random House Inc,2000
Dan Rhodes,Anthropology,1841151939,8,Fourth Estate,2000
Dan Shaughnessy,At Fenway: Dispatches from Red Sox Nation,0517701049,12,Crown Publishers,1996
